home_team,away_team,Year,rank_diff,points_diff,home_win_rate,away_win_rate,home_recent_win_rate,away_recent_win_rate,h2h_home_wins,h2h_draws,h2h_away_wins,stage,home_appearances,away_appearances,home_champion_count,away_champion_count,home_final_appearances,away_final_appearances,target
Uruguay,Spain,1950,7.0,-76.50999999999999,1.0,0.6666666666666666,1.0,1.0,0,0,0,5,2,2,1,0,1,0,1
Brazil,Spain,1950,-6.0,126.07999999999993,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.75,0,0,1,5,4,2,0,0,0,0,0
Uruguay,Sweden,1950,-11.0,85.38000000000011,0.8333333333333334,0.375,0.5,0.3333333333333333,0,0,0,5,2,3,1,0,1,0,0
Sweden,Spain,1950,18.0,-161.8900000000001,0.3333333333333333,0.5,0.2857142857142857,0.6,0,0,0,5,3,2,0,0,0,0,0
Uruguay,Brazil,1950,13.0,-202.58999999999992,0.8571428571428571,0.6153846153846154,0.6666666666666666,0.7,0,0,0,5,2,4,1,0,1,0,0
Uruguay,Czechia,1954,-21.0,146.5,0.875,0.5714285714285714,0.75,0.0,0,0,0,1,2,2,2,0,2,1,0
Serbia,France,1954,17.0,-196.16000000000008,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0,0,0,1,2,3,0,0,0,0,0
Brazil,Mexico,1954,-12.0,196.40999999999985,0.5714285714285714,0.0,0.6666666666666666,0.0,1,0,0,1,4,2,0,0,1,0,0
Austria,Scotland,1954,-6.0,13.420000000000073,0.5,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0
Switzerland,Italy,1954,9.0,-90.22000000000003,0.375,0.8181818181818182,0.3333333333333333,0.5,0,0,0,1,3,3,0,2,0,2,0
Hungary,Korea Republic,1954,8.0,-38.09999999999991,0.6666666666666666,0.0,0.0,0.0,0,0,0,1,2,0,0,0,1,0,0
Germany,Türkiye,1954,-34.0,190.06999999999994,0.5,0.0,0.0,0.0,0,0,0,1,2,0,0,0,0,0,0
England,Belgium,1954,3.0,-88.24000000000001,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,0,1,1,3,0,0,0,0,1
Uruguay,Scotland,1954,-26.0,159.18000000000006,0.8888888888888888,0.0,0.8,0.0,0,0,0,1,3,1,2,0,2,0,0
Brazil,Serbia,1954,-20.0,277.68000000000006,0.6,0.7142857142857143,0.7142857142857143,0.75,1,0,1,1,5,3,0,0,1,0,1
Austria,Czechia,1954,-1.0,0.7400000000000091,0.6,0.5,1.0,0.0,0,0,0,1,2,3,0,0,0,1,0
France,Mexico,1954,-9.0,114.88999999999987,0.2857142857142857,0.0,0.0,0.0,1,0,0,1,4,3,0,0,0,0,0
Hungary,Germany,1954,25.0,-158.01,0.7142857142857143,0.5714285714285714,1.0,1.0,0,0,0,1,3,3,0,0,1,0,0
Türkiye,Korea Republic,1954,17.0,-70.15999999999985,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,0,0
Italy,Belgium,1954,4.0,-90.56999999999994,0.75,0.0,0.3333333333333333,0.0,0,0,0,1,4,4,2,0,2,0,0
Switzerland,England,1954,10.0,-92.54999999999995,0.4444444444444444,0.25,0.5,0.25,0,0,0,1,4,2,0,0,0,0,2
Germany,Türkiye,1954,-34.0,190.06999999999994,0.5,0.5,0.5,0.5,1,0,0,1,3,1,0,0,0,0,0
Switzerland,Italy,1954,9.0,-90.22000000000003,0.4,0.7692307692307693,0.4,0.5,1,0,0,1,4,4,0,2,0,2,0
Uruguay,England,1954,9.0,-89.75999999999999,0.9,0.4,0.8333333333333334,0.4,0,0,0,3,3,2,2,0,2,0,0
Switzerland,Austria,1954,-19.0,142.97000000000003,0.45454545454545453,0.6666666666666666,0.5,1.0,0,0,0,3,4,2,0,0,0,0,2
Germany,Serbia,1954,-10.0,86.59000000000015,0.5555555555555556,0.625,0.6666666666666666,0.6,0,0,0,3,3,3,0,0,0,0,0
Hungary,Brazil,1954,35.0,-349.0999999999999,0.75,0.5625,1.0,0.625,0,0,0,3,3,5,0,0,1,1,0
Hungary,Uruguay,1954,22.0,-146.51,0.7777777777777778,0.9090909090909091,1.0,0.8571428571428571,0,0,0,4,3,3,0,2,1,2,0
Germany,Austria,1954,-23.0,157.26,0.6,0.7142857142857143,0.75,1.0,1,0,0,4,3,2,0,0,0,0,0
Austria,Uruguay,1954,20.0,-145.76,0.625,0.8333333333333334,0.75,0.75,0,0,0,5,2,3,0,2,0,2,0
Germany,Hungary,1954,-25.0,158.01,0.6363636363636364,0.8,0.8,1.0,0,0,1,5,3,3,0,0,0,1,0
Sweden,Mexico,1958,12.0,-91.56000000000017,0.4,0.0,0.4,0.0,0,0,0,1,3,3,0,0,0,0,0
Northern Ireland,Czechia,1958,24.0,-95.66000000000008,0.0,0.4444444444444444,0.0,0.0,0,0,0,1,0,3,0,0,0,1,0
Hungary,Wales,1958,17.0,-77.61999999999989,0.7272727272727273,0.0,0.8,0.0,0,0,0,1,3,0,0,0,2,0,1
Serbia,Scotland,1958,-19.0,84.08999999999992,0.5555555555555556,0.0,0.5,0.0,0,0,0,1,3,1,0,0,0,0,1
Brazil,Austria,1958,-33.0,348.3499999999999,0.5294117647058824,0.6666666666666666,0.5555555555555556,0.8,0,0,0,1,5,2,0,0,1,0,0
Russia,England,1958,28.0,-232.36000000000013,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0,0,1,0,2,0,0,0,0,1
France,Paraguay,1958,-43.0,311.01,0.375,0.25,0.5,0.0,0,0,0,1,4,2,0,0,0,0,0
Argentina,Germany,1958,-8.0,123.67000000000007,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334,0,0,0,1,2,3,0,1,1,1,2
Russia,Austria,1958,-1.0,3.1599999999998545,0.0,0.6,0.0,0.6666666666666666,0,0,0,1,1,3,0,0,0,0,0
Germany,Czechia,1958,-24.0,158.0,0.6923076923076923,0.4,0.8571428571428571,0.0,0,0,1,1,4,4,1,0,1,1,1
Argentina,Northern Ireland,1958,-56.0,377.33000000000015,0.5714285714285714,1.0,0.0,1.0,0,0,0,1,3,1,0,0,1,0,0
Serbia,France,1958,17.0,-196.16000000000008,0.5,0.4444444444444444,0.42857142857142855,0.6666666666666666,1,0,0,1,4,5,0,0,0,0,0
Paraguay,Scotland,1958,7.0,-30.75999999999999,0.2,0.0,0.0,0.0,0,0,0,1,3,2,0,0,0,0,0
Brazil,England,1958,-4.0,112.82999999999993,0.5555555555555556,0.2857142857142857,0.6,0.2857142857142857,0,0,0,1,6,3,0,0,1,0,1
Mexico,Wales,1958,-6.0,75.07000000000016,0.0,0.0,0.0,0.0,0,0,0,1,4,1,0,0,0,0,1
Sweden,Hungary,1958,-11.0,61.12999999999988,0.45454545454545453,0.6666666666666666,0.5,0.6666666666666666,0,0,1,1,4,4,0,0,0,2,0
Sweden,Wales,1958,6.0,-16.49000000000001,0.5,0.0,0.5714285714285714,0.0,0,0,0,1,4,1,0,0,0,0,1
Paraguay,Serbia,1958,26.0,-114.84999999999991,0.3333333333333333,0.5454545454545454,0.25,0.5,0,0,0,1,3,4,0,0,0,0,1
Germany,Northern Ireland,1958,-48.0,253.66000000000008,0.6428571428571429,0.5,0.75,0.5,0,0,0,1,4,1,1,0,1,0,1
Czechia,Argentina,1958,32.0,-281.6700000000001,0.36363636363636365,0.625,0.0,0.5,0,0,0,1,4,3,0,0,1,1,0
